continent,year,mean_gdp
Africa,1952,1252.5724658211539
Americas,1952,4079.0625522
Asia,1952,5195.484004039394
Europe,1952,5661.0574347599995
Oceania,1952,10298.08565
Africa,1957,1385.2360622557692
Americas,1957,4616.04373316
Asia,1957,5787.732939942424
Europe,1957,6963.0128159333335
Oceania,1957,11598.522455
Africa,1962,1598.0788248461538
Americas,1962,4901.5418704
Asia,1962,5729.369624775758
Europe,1962,8365.4868143
Oceania,1962,12696.452430000001
Africa,1967,2050.3638008576922
Americas,1967,5668.25349604
Asia,1967,5971.1733736060605
Europe,1967,10143.823756533333
Oceania,1967,14495.021789999999
Africa,1972,2339.615674198077
Americas,1972,6491.33413904
Asia,1972,8187.468699448485
Europe,1972,12479.575246466666
Oceania,1972,16417.33338
Africa,1977,2585.9385084634614
Americas,1977,7352.00712628
Asia,1977,7791.314019930303
Europe,1977,14283.979109599999
Oceania,1977,17283.957605
Africa,1982,2481.592959753846
Americas,1982,7506.73708808
Asia,1982,7434.135157484849
Europe,1982,15617.896551233333
Oceania,1982,18554.70984
Africa,1987,2282.6689912596153
Americas,1987,7793.40026112
Asia,1987,7608.226507730303
Europe,1987,17214.31072663333
Oceania,1987,20448.040159999997
Africa,1992,2281.8103332442306
Americas,1992,8044.93440552
Asia,1992,8639.690247730303
Europe,1992,17061.5680842
Oceania,1992,20894.045885
Africa,1997,2378.759555101923
Americas,1997,8889.30086256
Asia,1997,9834.093295248485
Europe,1997,19076.7818016
Oceania,1997,24024.175170000002
Africa,2002,2599.3851588903844
Americas,2002,9287.67710732
Asia,2002,10174.090396578787
Europe,2002,21711.732422433335
Oceania,2002,26938.77804
Africa,2007,3089.0326047365384
Americas,2007,11003.03162536
Asia,2007,12473.026870133333
Europe,2007,25054.481635933334
Oceania,2007,29810.188275
